"Speaker Name","Start Time","End Time","Text"
"Unknown","00:11:17:13","00:11:34:22","But the big standard bearers for wealth taxes in England and Wales are the the Green Party. So I think I would endorse the Greens in Scotland and Wales as well. But obviously if you have your reasons to vote for the SNP or Plaid Cymru, feel free to do that because they also do support wealth taxes."
"Unknown","00:11:34:24","00:11:55:02","Now, I think the main reason why it's important to do this is because, as I've said, we are almost certainly going to have a leadership contest within the Labour Party for who will be the next prime minister of this country within the next two years. It might be this year, it might be very shortly after the local elections, or it could be next year."
"Unknown","00:11:55:02","00:11:58:11","But I think it is very likely it will happen at some point."
"Unknown","00:11:58:11","00:12:14:23","And we don't know right now who the next Prime Minister will be. It will be a member of the Labour Party, probably a Labour MP. It could be Andy Burnham, who is not a Labour MP, but it could go a number of ways. When you look at the betting market for the next prime minister, the betting market really, really does not know."
"Unknown","00:12:14:24","00:12:40:17","You know, we have you know, the runners and riders are starting to step forward. You know, the favorites are Angela Rayner, Andy Burnham, Ed Miliband. Wes Streeting. But there is no clear favourite and we really do not know who it's going to be. And the way that this local election goes this week will have a really big bearing, especially if the leadership campaign is quite soon."
"Unknown","00:12:40:19","00:13:00:15","On who wins that leadership campaign, who wins the next election, in which direction the Labour Party, which means our our country, because they are our current government goes. And it will also have a big bearing on where we sit on wealth taxes. So if we come out of this election and Labour do really, really well,"
"Unknown","00:13:00:15","00:13:08:16","then that means that Keir Starmer may well stay, which means unfortunately, we will probably not get wealth taxes."
"Unknown","00:13:08:17","00:13:25:16","If I'm totally honest, I think for probably eight years because I think Keir Starmer will not do wealth taxes. It seems pretty clear that he doesn't want to do that. I think if they keep him till the next election, they will lose and Reform will win. So unfortunately, as much as you know, you know, I respect the Labour Party."
"Unknown","00:13:25:18","00:13:32:16","They are a powerful political party and we do need their assistance to some degree. If Labour do well here, that's no wealth taxes for eight years."
"Unknown","00:13:32:21","00:13:52:19","If Labour do badly, then there is a question of how will the new runners and riders for new Prime minister line themselves up? And if we come out of this election with Labour having done badly, Reform will do well in this election and the Greens will do well in this election."
"Unknown","00:13:52:19","00:14:00:09","These things, like, it is basically certain Labour will lose a ton of seats, Conservatives will lose a ton of seats, and the Greens and Reform will take a ton of seats."
"Unknown","00:14:00:13","00:14:07:10","If Labour do really badly and the Greens do really well and Reform don't do that well, then..."
"Unknown","00:14:07:12","00:14:19:01","It really begs the question, to Labour, of what are you going to do about this big threat on your on your left, which is Zack Polanski and the Greens."
"Unknown","00:14:19:03","00:14:43:06","And I would hope if Labour are intelligent, that they would recognize the smartest thing to do if they want to neutralize the threat on the left of the Greens would be to steal their most popular policy, which is a wealth tax and would be to talk to us, and would be to talk about how they can sensibly work towards building, you know, designing and planning a wealth tax in such a way that it can work."
"Unknown","00:14:43:09","00:14:50:13","You know, talking to world leaders on the planning of these things, such as Gabriel Zucman and his team of economists in France."
"Unknown","00:14:50:13","00:15:01:20","And I've got to be honest, like I've been. Well, I was going to say I've been very disappointed with Labour so far. But the truth is, I always predicted that Labour would be very bad and would be very unpopular."
"Unknown","00:15:01:20","00:15:22:05","But Labour have given us nothing on wealth taxes so far. This is probably going to be our last chance to convince Labour that they, at the very least, need to have a wealth tax candidate in that leadership contest, which may possibly happen as soon as in the next few months."
"Unknown","00:15:22:05","00:15:24:14","And I'll be totally honest,"
"Unknown","00:15:24:14","00:15:39:10","I think if we fail at convincing Labour to have at least one wealth tax candidate on the ballot in that leadership contest, then Labour."
"Unknown","00:15:39:12","00:15:48:08","Will disappear in a relatively short period of time. I'm reminded of what happened in the mid 2010s"
"Unknown","00:15:48:08","00:16:07:05","which was the previous time that Nigel Farage, who is our far-right leader, was really eating into the conservative vote share and Nigel Farage was briefly disappeared by the conservatives, by the conservatives, basically stealing Nigel Farage's signature policy, which was leaving the EU and making it their signature policy."
"Unknown","00:16:07:05","00:16:16:07","And that basically destroyed Nigel Farage for ten years. And Nigel Farage was not a political force for ten years. He's only really coming back now."
"Unknown","00:16:16:09","00:16:31:17","If Labour want to prevent themselves from getting savaged by the Greens at the next election, they need to steal the world tax policy. And I think that is the only chance of not getting destroyed."
"Unknown","00:16:31:19","00:16:40:07","There will be people watching that will be saying, oh, you know, we want Labour to be destroyed because we're unhappy with them. And I talk a bit a little bit about that further later on in the video."
"Unknown","00:16:40:09","00:17:06:17","If you want wealth taxes, in my opinion, your best chance of getting wealth taxes within the next eight years is for the Greens to do incredibly well now, such that we can pressure Labour to give us wealth taxes after Keir Starmer is gone. You're actually in this weird, ironic situation where almost the best way for the Greens to win the next election is for the Greens to do badly now, because then Labour will not give us wealth taxes and Labour will disappear, which will do well for the Greens."
"Unknown","00:17:06:17","00:17:07:20",""
"Unknown","00:17:07:22","00:17:16:02","But this is my strong endorsement. If the Greens do well today, the Greens do well this week. It's our last chance, really, to get wealth taxes from Labour, which is our last chance to"
"Unknown","00:17:16:04","00:17:23:08","just save Labour from themselves really And I'll talk about what it means if Labour don't do well and if Labour disappears later on in the video."
"Unknown","00:17:23:12","00:17:41:14","But if the Greens do not well and Reform do very well, then it means that when that Labour leadership contest happens, it is much more likely to be won by somebody on the right of the party. You know, people talk about Wes Streeting as being on the right of the party, who is less likely to give us wealth taxes."
"Unknown","00:17:41:18","00:18:02:03","So basically, for me, I think this local election is basically the closest you are going to get to a proxy vote on wealth taxes coming into the next election. It will determine who the next prime Minister is, and it is our chance to get wealth taxes in. And if we don't do that, then we will have a very weak Labour and probably a Reform government."
"Unknown","00:18:02:03","00:18:05:03","So yeah, for me it has to be the Greens at this local election."
"Unknown","00:18:05:08","00:18:10:24","But I think there is also a risk and if I'm totally honest, I can really, really see this happening."
"Unknown","00:18:11:02","00:18:16:19","I think there is a real risk that you guys will go out and vote like you should, and I'm going to vote as well."
"Unknown","00:18:16:19","00:18:21:12","We vote for the Greens. The Greens do really, really well in this local election. Labour do really badly."
"Unknown","00:18:21:12","00:18:41:08","I think both those things, those things will probably happen. And somehow Labour failed to recognize that this is related to their wealth tax policy. I've been speaking to some people in Labour the last few weeks, just honestly, to try to understand why they're not talking to me, because it's honestly quite baffling to me."
"Unknown","00:18:41:10","00:18:50:02","And a lot of people that I've spoken to, they don't think that the Greens surge in popularity and Labour's fall in popularity is connected to wealth taxes at all."
"Unknown","00:18:50:08","00:19:18:18","So I think it is important that if you do vote for the Greens in this local election because you want wealth taxes and because you want lower inequality, that whenever you can be, you're vocal about it. I think it's important that Labour know the reason you're voting against them is because of their wealth tax policy. And I think it's important that the Greens know that the reason you're voting for them is their wealth tax policy, because the Greens are surging in popularity now."
"Unknown","00:19:18:18","00:19:45:19","And as they surge in popularity, you know, lots and lots of people will be lobbying them to do lots and lots of things. Up until now, wealth taxes has been their, I would say their flagship policy, their most prominent policy. There is a risk that if the Greens don't realize the reason you're voting for them is because of wealth tax, is they start to become distracted, focus on other ideas that will hurt their popularity, and it will also take the pressure off of Labour to do wealth taxes."
"Unknown","00:19:45:21","00:20:12:24","There is also a risk, and I think this is really possible, that Labour simply do not recognize that a big reason for the Greens surge in popularity is because of wealth taxes. So I think if you can, I would like you to sort of be quite vocal about this. Don't sort of harass or or heckler people in Labour, but whenever you can, if this means voting, if this means writing to your MP, or if this means calling into talk shows or just talking to your friends, talking to your families, making your own videos."
"Unknown","00:20:13:01","00:20:19:24","Be vocal whenever you can. When you talk to anybody in public, or if you can talk to the Labour and say, listen,"
"Unknown","00:20:20:01","00:20:45:04","we would love to vote for you, but we cannot vote for you while you are so aggressively in opposition to the one economic and tax policy which could stop inequality from rising, which is wealth taxes, I think it's really important that rather than this becoming like a factional debate, which is like Greens versus Labour, that this is very, very focused on policy, because if we focus on policy, then we can reach a situation,"
"Unknown","00:20:45:05","00:21:04:14","I would like to ideally reach a situation where when we go into the next election, we have both the Greens and Labour aggressively supporting wealth taxes, at least in principle. And I think that that is obviously our best chance of getting wealth taxes. But it's also our best chance of stopping Reform. And whether or not you like Reform, I think it has to be accepted."
"Unknown","00:21:04:16","00:21:16:24","If we don't get wealth taxes and then we get a Reform government, then that is eight years of no wealth taxes because Reform, unfortunately, I don't think will ever support wealth tax as a policy."
"Unknown","00:21:17:01","00:21:40:18","So now I'm going to get on to the point which I mentioned at the beginning of the video, which is that I was quite heavily advised not to do this video, and some people would think that doing this video is a bit of a risk. And I'll explain to you why. So, you know, I've been doing this work on trying to support world taxes since 2014, so nearly 12 years now."
"Unknown","00:21:40:20","00:21:58:21","And in that time I've tried many, many things. You know, I worked for a think tank and I went back to university, and now I'm obviously doing this social media thing. And, you know, I've met a lot of people who work in the field of trying to convince political parties, trying to convince government, Conservatives, Labour on how to do things."
"Unknown","00:21:58:21","00:22:13:14","And when I spoke to them sort of a month ago, six weeks ago, I was saying I was thinking of doing this strategy where we tell everybody to sign up to vote. And we tell the government, listen, we're going to push people to vote, like, please give us a pitch."
"Unknown","00:22:13:14","00:22:21:13","And what people said to me was, Labour won't give you a pitch, they'll ignore you, which will force you to endorse the Greens."
"Unknown","00:22:21:13","00:22:47:05","And Labour can be what I've been told. And I don't know if this is true. And if you're in Labour, I'd love you to convince me otherwise. I've been told that there are people in Labour who don't like, don't take being crossed very lightly, and they don't take being spoken against very lightly And if you ever come out publicly and say vote anyone other than Labour, then nobody in Labour will ever speak to you again."
"Unknown","00:22:47:07","00:22:52:22","And I'm aware that this is potentially a risk. But the truth is"
"Unknown","00:22:52:24","00:23:21:15","we need to do something, and I don't think they are going to talk to us unless we force them to talk to us. If I'm totally, if I'm totally honest. So I figured it was worth the risk of of trying to get something out of them, because for so long I've been trying to sort of play a nicer game and have have failed to get any real, any real relationship."
"Unknown","00:23:21:17","00:23:39:16","But the real reason why I was worried about doing this video was not the sort of these concerns that it would put me on Labour's blacklist. The real reason is because of this, basically, and I'm going to flash up here. So I was looking the other day"
"Unknown","00:23:39:18","00:23:45:19","at predictions for the next election. And you know, I've done a video on this about the betting markets."
"Unknown","00:23:45:19","00:24:05:14","But there's also another way of predicting the next election, which is to look at the polls. And there's this group of people here, electoral calculus, who make a general election prediction based on the current polling. And I'm going to put a link in the description, but I'll also flash up here what they're currently predicting for the next election."
"Unknown","00:24:05:16","00:24:11:03","And you can see here that the prediction for the next election at the moment is"
"Unknown","00:24:11:05","00:24:35:05","266 seats for Reform, 107 for the Conservatives, 74 for the Greens in third and everybody else under 70, Labour coming in fifth. And when you see that, some of you who have been following this channel for a long time and see how how difficult I found it to talk to Labour, might take a little bit of joy in that."
"Unknown","00:24:35:05","00:24:46:02","And might say, oh, that's you know, that's sort of just desserts for Labour for being so bad. And I do think Labour have been really bad. I think Labour have been really bad on wealth taxes."
"Unknown","00:24:46:02","00:24:55:03","But the flip side of that is if this really happens, then what we will get is a Reform Conservative."
"Unknown","00:24:55:04","00:25:08:01","Coalition government and our chances of getting wealth taxes or any significant increase on taxes on the rich under a Reform Conservative coalition government are basically zero."
"Unknown","00:25:08:03","00:25:27:01","So if we continue the way we are going, then we will get in three years time a Reform Conservative coalition government. And what that means is we will not get wealth taxes for eight years, because I think it will be almost impossible to get wealth taxes out of a Reform Conservative coalition government."
"Unknown","00:25:27:03","00:25:32:23","And that's eight years where inequality will increase considerably and living standards will fall a long way."
"Unknown","00:25:33:01","00:25:46:23","And I don't want that to happen. And we need to be realistic about one of the reasons why that is happening. All right. So we here in the UK we have what is called a first past the post voting system. And maybe I'll do a video explaining in more detail."
"Unknown","00:25:46:23","00:26:16:06","But just to summarize, first past the post voting system aggressively punishes split votes. And if you have a split vote on the left, then the left, or do badly. If you have a split vote on the right, then the right will do badly. One of the reasons why Labour won a landslide in the last election was because we had a split vote on the right, which was split between the Conservatives and Reform, and that is one of the reasons why Labour were able to win a big majority, despite not actually getting that many votes."
"Unknown","00:26:16:07","00:26:49:06","So we have a voting system which aggressively punishes division. And when I sit here and advocate for you guys out there voting Greens this week, and I do think that it is the strategic right choice to vote Greens this week, I have to recognize and you have to recognize, and we have to recognize that when we advocate for that, we are in many senses advocating for a splitting of the of the of the vote on the left of this country."
"Unknown","00:26:49:08","00:26:54:16","We're in a situation now where Labour are very unpopular. The Greens are surging in popularity."
"Unknown","00:26:54:18","00:26:58:01","This website is predicting the Greens will beat Labour in the next election,"
"Unknown","00:26:58:06","00:27:00:18","which I think, to be honest, is very possible."
"Unknown","00:27:00:23","00:27:11:23","And as much as I would love, listen, I've been really impressed by the greens grabbing wealth taxes, I've been really impressed by Zack Polanski's work, you know, I've met Zack Polanski a number of times, from what I've seen of him. I like him."
"Unknown","00:27:11:23","00:27:16:24","But we have to accept if we have"
"Unknown","00:27:17:01","00:27:25:03","a splintered vote outside of Reform, you know, and the Liberal Democrats are getting 70 seats here as well, and the SNP are getting 45 seats."
"Unknown","00:27:25:06","00:27:30:04","If the vote outside of the right is splintered, then that will probably mean"
"Unknown","00:27:30:08","00:27:39:01","a Reform government. And you know, I want this channel to be like really welcoming to everybody. So listen, if you're out there considering voting for Reform, you know there's space for you"
"Unknown","00:27:39:05","00:28:18:00","on this channel. The reason I do not want a Reform government is because these guys, the Reform Party, I am very confident they will never support wealth taxes, in my opinion, their economic policy is primarily about reducing taxes on the very rich. So look, the reason I'm hesitant in this video is because as much as I'm really happy to see like this growing surge in green support while they support world taxes, I'm also aware that if we have this like shattered, divided political space outside of Reform, then Reform will win the next election."
"Unknown","00:28:18:00","00:28:21:03","And I think when that happens,"
"Unknown","00:28:21:05","00:28:44:16","I think the correct response from us is to make sure as much as we can, that we avoid factionalism and that we avoid hatred amongst each other. Now, listen, I've been sort of floating around politics for a long time in this country. And, you know, I know and I've seen there has been an awful lot of bad blood between the center left,"
"Unknown","00:28:44:16","00:28:50:08","which I guess is currently represented by Labour, and the left, which I guess is currently represented by the Greens."
"Unknown","00:28:50:12","00:28:54:00","And I understand why that bad blood is there."
"Unknown","00:28:54:05","00:29:01:22","And there will be some who are supportive of the Greens that will say, listen, forget Labour, we can kill them we can take them out."
"Unknown","00:29:01:24","00:29:11:10","The truth is, I think doing that within the next three years, the next election will probably be in three years, is going to be incredibly difficult."
"Unknown","00:29:11:15","00:29:23:15","You know, in the last couple of years, the greens have played a very good game strategically and Labour have played a very bad game strategically. And if that continues, a Labour wipeout is possible."
"Unknown","00:29:23:15","00:29:33:15","And if I start to think that that is looking very likely, I will inform you guys. But Labour are going to change leader. Labour are going to try to do a big rebrand."
"Unknown","00:29:33:20","00:29:39:01","If the Greens do really well in this election, maybe we can get something sensible out of them on wealth taxes."
"Unknown","00:29:39:01","00:29:41:11","But we have to be realistic here."
"Unknown","00:29:41:13","00:30:13:13","Our chances of absolutely eliminating the Labour Party before the next election are slim. So if we want to get wealth taxes, we do need to be looking for ways for how we can build at least some level of understanding between the different groups of people in this country, which includes like centrists and people like Rory Stewart, who I’m trying my best not to be mean about, but centrists like people who like Labour, even ordinary people who might be considering voting for Reform, and people who are wanting"
"Unknown","00:30:13:13","00:30:20:11","to vote for Liberal Democrats, Greens, SNP. I think we need to be realistic about what's happening here, right? So when I go and say"
"Unknown","00:30:20:13","00:30:33:24","vote for the Greens, this is not like Team Green. This is not tie your flag to the greens. We are at a pretty dangerous moment here in the UK and in the Western world. You know, we can all look at what's happening in the US."
"Unknown","00:30:34:00","00:30:39:03","under Trump, there is a global resurgent and popular far right."
"Unknown","00:30:39:03","00:31:00:01","And in my opinion the reason that they are so popular, there's a number of reasons. But the primary reason is because they are the only political voice, I would say, in this country and in the world, that has a clear message that they communicate about why living standards are falling and how they're going to fix it."
"Unknown","00:31:00:01","00:31:01:24","And I don't think that that message is true."
"Unknown","00:31:01:24","00:31:10:23","I think that we will see and we will continue to see that when they get into power, they cut taxes on billionaires and living standards fall."
"Unknown","00:31:10:23","00:31:34:07","I think Donald Trump is making that as clear as anybody. But until and unless there is another political voice in the room at the table that has a clear message about why living standards are falling and how they're going to stop it, then you will not be able to see any political group seriously challenge the far right electorally."
"Unknown","00:31:34:11","00:31:59:23","So when I advocate for voting for the Greens in this election, I think it's really important that you understand that not as like a tribal vote for the far left, but as a way of trying to communicate to everybody else political centrists, even people who might be voting for Reform that there is an alternative on the economy, which is the reason living standards are falling, is because of growing inequality."
"Unknown","00:31:59:23","00:32:13:07","And that can be resolved by increased taxation of the very rich. Tax wealth and not work. So, you know, I know that there may be people in Labour who are very factional. And I want to make it really, really clear. My"
"Unknown","00:32:13:09","00:32:36:06","preferred outcome at the moment for the next election is a Labour win. I think that is our most our best shot getting wealth taxes. But I think we can only get wealth taxes. I think we can only get the Labour win if Labour give us something on wealth taxes. I think if Labour don't move on wealth taxes, you know, save this in your diaries because I'll be right."
"Unknown","00:32:36:06","00:32:39:19","If Labour don't move on wealth axes, they will get f**king smashed."
"Unknown","00:32:39:22","00:32:53:08","Not just here in the locals, but they will get smashed in the general election. And I do not want that to happen because as happy as I am of the excellent work the Greens have done, I struggle to see Labour getting smashed in the next election,"
"Unknown","00:32:53:10","00:32:56:02","producing any other outcome other than a Reform win."
"Unknown","00:32:56:02","00:32:56:24","So look,"
"Unknown","00:32:57:01","00:33:24:17","get out there, vote green, push wealth taxes. Tell everybody you're doing it because of wealth taxes. And if you don't like the Greens, you know, if you want to vote for another party, you know, be that Labour Lib Dems Reform Conservatives, join that party and campaign aggressively within that party for that party to adopt wealth taxes in its policy manifesto. We don't need them to say, look, we're going to do wealth taxes today."
"Unknown","00:33:24:17","00:33:43:19","Just say we are going to get a team of economists to research the design, the feasibility, start working on it, speak to the global experts on it, and this is doable. We had the message just this week from somebody in the Conservative Party that's like creating a group in the Conservative Party, making the conservative case for wealth taxes."
"Unknown","00:33:43:21","00:33:53:13","I think the way that we win this, it is policy over party. And you aggressively support the party that gives you the best chance of getting wealth taxes."
"Unknown","00:33:53:15","00:34:03:10","So that's where we are. I think we're in a really weird spot at the moment where we if I'm totally honest, I think we've played the blinder. I think we've created this massive space for wealth taxes"
"Unknown","00:34:03:15","00:34:08:03","and we we should be having it in policy. But the problem is Labour."
"Unknown","00:34:08:07","00:34:12:09","I think they're kind of stuck in their Westminster bubble and"
"Unknown","00:34:12:11","00:34:23:16","they're they're struggling to move on it. And I think we need to do everything we can to shake them into sense and make them realize their only chance of not dying here is to give us something on wealth taxes."
"Unknown","00:34:23:16","00:34:29:04","And I know there will be people watching that will be going mad and saying, give up on Labour, they've got no chance."
"Unknown","00:34:29:04","00:34:45:16","Come and help us with the Green Party. And I understand that. I understand that, and, you know, best of luck to Zack for the work that he's doing, as soon as I look at this situation and I honestly think our best chance of getting wealth taxes by the next election or within the next eight years is with the Greens."
"Unknown","00:34:45:16","00:34:46:14","I will say that."
